id	category	gms_name	kms_name	icon
1010000	Accessory	Long Brown Beard	갈색 턱수염	1010000.png
1010001	Accessory	Goatee	동그란 수염	1010001.png
1010002	Accessory	Ninja Mask for Men	남자닌자 마스크	1010002.png
1010003	Accessory	5 O'Clock Shadow	면도자국	1010003.png
1010004	Accessory	General's Mustache (1)	해신 장보고 수염	1010004.png
1010005	Accessory	General's Mustache (2)	해신 염장 수염	1010005.png
1010006	Accessory	Yakuza Scar	야쿠자 흉터	1010006.png
1010007	Accessory	Cold Make-up	차가운 메이크업	1010007.png
1010008	Accessory	Blue Blae Face Accessory	[블루] 블레이 얼굴장식	1010008.png
1010009	Accessory	Black Blae Face Accessory	[블랙] 블레이 얼굴장식	1010009.png
1010010	Accessory	White-Eyed Calm Lucid Face Accessory	백안 차분한 루시드 얼굴장식	1010010.png
1010011	Accessory	White-Eyed Sullen Face Accessory	백안 차차 얼굴장식	1010011.png
1010012	Accessory	White-Eyed Cartoon Face Accessory	백안 멍한 얼굴장식	1010012.png
1010013	Accessory	White-Eyed Mute Face Accessory	백안 뮤트 얼굴장식	1010013.png
1010014	Accessory	White-Eyed Constantly Curious Face Accessory	백안 한결같은 신비 얼굴장식	1010014.png
1010015	Accessory	White-Eyed Dear Face Accessory	백안 디어 얼굴장식	1010015.png
1010016	Accessory	White-Eyed Lucid Face Accessory	백안 루시드 얼굴장식	1010016.png
1011000	Accessory	Ninja Mask for Women	여자닌자 마스크	1011000.png
1011001	Accessory	SF Ninja Mask	SF닌자 마스크	1011001.png
1011002	Accessory	Heart	하트마크	1011002.png
1011003	Accessory	Freckles	주근깨	1011003.png
1011006	Accessory	Soulful Make-up	아련한 메이크업	1011006.png
1011007	Accessory	Blue Blair Face Accessory	[블루] 블레어 얼굴장식	1011007.png
1011008	Accessory	Black Blair Face Accessory	[블랙] 블레어 얼굴장식	1011008.png
1011011	Accessory	White-Eyed Still Eyed Face Accessory	백안 조용한 눈 얼굴장식	1011011.png
1011012	Accessory	White-Eyed Calm Lucid Face Accessory	백안 차분한 루시드 얼굴장식	1011012.png
1011013	Accessory	White-Eyed Not-So-Chucklehead Face Accessory	백안 차분한 헤헤 얼굴장식	1011013.png
1011014	Accessory	White-Eyed Existentially Tired Face Accessory	백안 졸린 얼굴장식	1011014.png
1011015	Accessory	White-Eyed Sullen Face Accessory	백안 차차 얼굴장식	1011015.png
1011016	Accessory	White-Eyed Dear Face Accessory	백안 디어 얼굴장식	1011016.png
1011017	Accessory	White-Eyed Sleepy Time Face Accessory	백안 졸린 조용한 얼굴장식	1011017.png
1012000	Accessory	Battle Scar	바람의 흉터	1012000.png
1012001	Accessory	Bindi	빈디	1012001.png
1012002	Accessory	Leather Mask	가죽 마스크	1012002.png
1012003	Accessory	Rouge	연지곤지	1012003.png
1012004	Accessory	Camo Face Paint	안면위장	1012004.png
1012005	Accessory	Bruise	멍	1012005.png
1012006	Accessory	Rose	장미 한 송이	1012006.png
1012007	Accessory	Santa Beard	산타 수염	1012007.png
1012008	Accessory	Censor	모자이크	1012008.png
1012009	Accessory	Kiss Mark	키스 마크	1012009.png
1012021	Accessory	White Kabuki Mask	흰색 경극가면	1012021.png
1012022	Accessory	Red Kabuki Mask	빨간색 경극가면	1012022.png
1012023	Accessory	Yellow Kabuki Mask	노란색 경극가면	1012023.png
1012024	Accessory	Gentleman's Mustache	엘레강스 수염	1012024.png
1012025	Accessory	Fierce Face Paint	인디언 페인팅	1012025.png
1012026	Accessory	Guan Yu Beard	관우 수염	1012026.png
1012027	Accessory	Bandage Strip	반창고	1012027.png
1012028	Accessory	Blush	홍조	1012028.png
1012029	Accessory	Jester Mask		1012029.png
1012030	Accessory	Eye Scar	눈 흉터	1012030.png
1012031	Accessory	Leaf	잎사귀	1012031.png
1012032	Accessory	White Bread	식빵	1012032.png
1012033	Accessory	England Face Painting	유니언 페인팅(영국)	1012033.png
1012034	Accessory	Tri-color Paint (France)	트리컬러 페인팅 (프랑스)	1012034.png
1012035	Accessory	Brazillian Paint (Brazil)	브라질리언 페인팅 (브라질)	1012035.png
1012036	Accessory	Bundes Paint (Germany)	분데스 페인팅 (독일)	1012036.png
